ilp_id,trainee_initials,pgy_level,reporting_period,date_finalized,next_review_date,subcompetency_id,subcompetency_label,domain,self_rating,external_rating_medhub,external_source,discrepancy_delta,growth_flag
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PC1,Psychiatric Evaluation,patient_care,4.0,4.0,medhub_outpatient_eval,0,false
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PC2,Psychiatric Formulation and Differential Diagnosis,patient_care,3.5,3.5,medhub_outpatient_eval,0,true
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PC3,Treatment Planning and Management,patient_care,3.5,3.5,medhub_outpatient_eval,0,true
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PC4,Psychotherapy,patient_care,3.5,,,,
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PC5,Somatic Therapies,patient_care,4.0,4.0,medhub_outpatient_eval,0,false
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PC6,Clinical Consultation,patient_care,3.5,,,,
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,MK2,Psychopathology,medical_knowledge,4.0,4.0,medhub_outpatient_eval,0,false
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PBLI1,Evidence-Based and Informed Practice,pbli,3.0,3.5,medhub_outpatient_eval,-0.5,true
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,PBLI2,Reflective Practice and Commitment to Personal Growth,pbli,4.0,4.0,medhub_outpatient_eval,0,false
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,ICS1,Patient and Family-Centered Communication,ics,4.0,4.0,medhub_outpatient_eval,0,false
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,ICS3,Communication within Health Care Systems,ics,4.0,4.0,medhub_outpatient_eval,0,false
uh-ilp-2026-h1-kp,KP,PGY-3,2025-H2,2026-01-15,2026-07-01,SBP1,Patient Safety and Quality Improvement,sbp,3.5,,,,
