survey_year,respondent_type,survey_item,compliance_pct,program_mean,specialty_mean,gap_vs_specialty,fiscmak_product_hook
2025,resident,Faculty discuss cost awareness,74,3.1,3.4,-0.3,Rotation debrief: stewardship captures
2025,resident,Access confidential mental health counseling,74,3.9,4.6,-0.7,Wellness resources card (read-only link-out)
2025,resident,Satisfied with safety and health conditions,68,3.8,4.2,-0.4,Site-specific safety checklist in debrief
2025,resident,Interprofessional teamwork modeled or taught,65,3.6,4.1,-0.5,Team role capture template (CL/VA)
2025,resident,Faculty effectively creates environment of inquiry,68,3.9,4.2,-0.3,Scholarly capture + incubator prompts
2025,resident,Increasing clinical responsibility granted appropriately,71,3.9,4.2,-0.3,Autonomy milestone self-reflection in ILP
2025,resident,Satisfied with faculty members feedback,56,3.6,4.0,-0.4,Capture moments → eval draft assist
2025,resident,Four or more days free in 28 day period,65,3.9,4.3,-0.4,No FISCMAK action (duty hours = MedHub)
2025,faculty,Process to transition care when trainees fatigued,76,3.8,4.4,-0.6,No FISCMAK action (program policy)
2025,faculty,Faculty satisfied with evaluation as educators,66,3.8,4.2,-0.4,Structured faculty feedback export assist
